,us_code,us_name,option_var,option_code,option_name,exe_type,strike_price,month,call_put,first_tradedate,last_tradedate,expiredate,settle_method,multiplier
1,510050.SH,华夏上证50ETF,510050OP.SH,10001771.SH,50ETF购4月2.50,欧式,2.5,201904,认购,2019-03-11 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
2,510050.SH,华夏上证50ETF,510050OP.SH,10001751.SH,50ETF购4月2.55,欧式,2.55,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
3,510050.SH,华夏上证50ETF,510050OP.SH,10001752.SH,50ETF购4月2.60,欧式,2.6,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
4,510050.SH,华夏上证50ETF,510050OP.SH,10001753.SH,50ETF购4月2.65,欧式,2.65,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
5,510050.SH,华夏上证50ETF,510050OP.SH,10001754.SH,50ETF购4月2.70,欧式,2.7,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
6,510050.SH,华夏上证50ETF,510050OP.SH,10001755.SH,50ETF购4月2.75,欧式,2.75,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
7,510050.SH,华夏上证50ETF,510050OP.SH,10001756.SH,50ETF购4月2.80,欧式,2.8,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
8,510050.SH,华夏上证50ETF,510050OP.SH,10001757.SH,50ETF购4月2.85,欧式,2.85,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
9,510050.SH,华夏上证50ETF,510050OP.SH,10001758.SH,50ETF购4月2.90,欧式,2.9,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
10,510050.SH,华夏上证50ETF,510050OP.SH,10001759.SH,50ETF购4月2.95,欧式,2.95,201904,认购,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
11,510050.SH,华夏上证50ETF,510050OP.SH,10001769.SH,50ETF购4月3.00,欧式,3.0,201904,认购,2019-03-04 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
12,510050.SH,华夏上证50ETF,510050OP.SH,10001795.SH,50ETF购4月3.10,欧式,3.1,201904,认购,2019-04-02 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
13,510050.SH,华夏上证50ETF,510050OP.SH,10001803.SH,50ETF购4月3.20,欧式,3.2,201904,认购,2019-04-04 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
14,510050.SH,华夏上证50ETF,510050OP.SH,10001811.SH,50ETF购4月3.30,欧式,3.3,201904,认购,2019-04-08 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
15,510050.SH,华夏上证50ETF,510050OP.SH,10001819.SH,50ETF购4月3.40,欧式,3.4,201904,认购,2019-04-17 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
16,510050.SH,华夏上证50ETF,510050OP.SH,10001772.SH,50ETF沽4月2.50,欧式,2.5,201904,认沽,2019-03-11 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
17,510050.SH,华夏上证50ETF,510050OP.SH,10001760.SH,50ETF沽4月2.55,欧式,2.55,201904,认沽,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
18,510050.SH,华夏上证50ETF,510050OP.SH,10001761.SH,50ETF沽4月2.60,欧式,2.6,201904,认沽,2019-02-28 00:00:00,2019-04-24 00:00:00,1,实物资产,10000.0
